player,age,team_id,pos,goals,assists,points,plus_minus,wins_goalie,losses_goalie,ties_goalie,goals_against_avg,save_pct,ops,dps,gps,ps
Sam Gagner,29,VAN,C,1,2,3,-3,,,,,,,,,0.1
Alex Galchenyuk,24,ARI,C,19,22,41,-19,,,,,,,,,4.1
Brendan Gallagher,26,MTL,RW,33,19,52,10,,,,,,,,,6.5
Joseph Gambardella,25,EDM,C,0,3,3,2,,,,,,,,,0.2
Dylan Gambrell,22,SJS,C,0,0,0,1,,,,,,,,,-0.1
Jake Gardiner,28,TOR,D,3,27,30,19,,,,,,,,,5.2
Conor Garland,22,ARI,RW,13,5,18,1,,,,,,,,,2.5
Jason Garrison,34,EDM,D,1,0,1,1,,,,,,,,,0.5
Player,Age,Tm,Pos,G,A,PTS,+/-,,,,,,,,,PS
Adam Gaudette,22,VAN,C,5,7,12,-8,,,,,,,,,0.5
Frederick Gaudreau,25,NSH,C,3,1,4,1,,,,,,,,,-0.1
Johnny Gaudreau,25,CGY,LW,36,63,99,18,,,,,,,,,10.9
Brendan Gaunce,24,VAN,C,1,2,3,3,,,,,,,,,0.5
Cameron Gaunce,28,TBL,D,0,0,0,3,,,,,,,,,0.2
Frederik Gauthier,23,TOR,C,3,11,14,3,,,,,,,,,0.7
Timothy Gettinger,20,NYR,LW,0,0,0,0,,,,,,,,,0.0
Ryan Getzlaf,33,ANA,C,14,34,48,-19,,,,,,,,,3.7
Brian Gibbons,30,TOT,C,8,11,19,-5,,,,,,,,,1.4
