"player","position","season","Team","GP","TOI","G","A1","A2","Points","iSF","iFF","iCF","ixG","Sh_perc","F_Sh_perc","xFSH_perc","iBLK","iHF","iHA","GIVE","TAKE","iPENT2","iPEND2","iPENT5","iPEND5","FOW","FOL","FO_diff"
"LUCAS.WALLMARK","F","20182019","CAR",46,576.23,3,2,3,8,76,97,120,7.89,3.95,3.09,8.13,16,53,28,15,12,8,3,0,0,297,269,28
"LUKAS.RADIL","F","20182019","S.J",24,253.98,5,3,1,9,31,46,57,3.54,16.13,10.87,7.7,5,14,43,7,10,3,4,0,0,4,2,2
"LUKAS.SEDLAK","F","20182019","CBJ",31,254.2,2,1,1,4,24,35,37,2.97,8.33,5.71,8.49,11,49,52,7,3,4,6,0,0,39,33,6
"LUKE.GLENDENING","F","20182019","DET",48,613.53,5,5,3,13,45,76,89,5.32,11.11,6.58,7,46,106,56,15,13,3,0,1,1,367,247,120
"LUKE.JOHNSON","F","20182019","CHI",15,135.85,0,0,0,0,18,21,25,1.24,0,0,5.9,7,29,24,1,6,2,0,0,0,46,42,4
"LUKE.KUNIN","F","20182019","MIN",18,216.6,1,4,0,5,25,35,43,1.83,4,2.86,5.23,11,35,30,6,6,2,3,1,1,4,6,-2
"LUKE.SCHENN","D","20182019","ANA",8,87.32,0,0,0,0,6,7,14,0.53,0,0,7.57,7,22,13,4,0,1,0,1,1,0,0,0
"LUKE.WITKOWSKI","F","20182019","DET",17,129.3,0,2,0,2,8,10,12,0.2,0,0,2,9,26,9,5,1,0,2,2,2,0,0,0
"MACKENZIE.WEEGAR","D","20182019","FLA",42,605.17,1,3,2,6,54,67,97,2.01,1.85,1.49,3,45,62,83,27,21,5,3,1,2,1,0,1
"MADISON.BOWEY","D","20182019","WSH",30,389.08,1,1,4,6,27,42,66,1.03,3.7,2.38,2.45,38,41,39,14,5,14,4,1,2,0,0,0
"MAGNUS.PAAJARVI","F","20182019","OTT",45,474.75,1,0,1,2,49,64,76,3.54,2.04,1.56,5.53,30,34,35,12,10,1,1,0,0,1,2,-1
"MARC-EDOUARD.VLASIC","D","20182019","S.J",42,763.55,1,3,5,9,49,78,123,2.52,2.04,1.28,3.23,57,9,49,22,10,4,4,0,0,0,0,0
